Access_No,Title,Authors,Department,Rack_No,Matching_Access_No
1,Advanced Engineering Mathematics,Kreyszig Erwin,Mathematics,R7,1
10,Advanced Engineering Mathematics,Kreyszig Erwin,Mathematics,R5,10
100,Engineering Mathematics - II,Ramamurthy K and Qureshi A,Mathematics,N/A,N/A
1000,A Detailed Text Book  of Engineering Physics Pract,Basavaraju S P,Physics,N/A,N/A
10000,Material Sciecne,"kakani, Sl and Kakani, Amit",General,N/A,N/A
10001,Material Sciecne,"kakani, Sl and Kakani, Amit",Mathematics,N/A,N/A
10002,Material Sciecne,"kakani, Sl and Kakani, Amit",Mathematics,N/A,N/A
10003,Material Sciecne,"kakani, Sl and Kakani, Amit",Mathematics,N/A,N/A
10004,Electrical power systems,"Wadhwa, C L",Electrical,N/A,N/A
10005,Electrical power systems,"Wadhwa, C L",Electrical,N/A,N/A
10006,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10007,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10008,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10009,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
1001,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
10010,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10011,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10012,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10013,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10014,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10015,Basic electrical engineering,"Chandrashekharaiah,P.M",Electrical,N/A,N/A
10016,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
10017,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
10018,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
10019,Schaums outline of theory and problems of Engineer,"Mclean, W G and  Nelson, E W",Mechanical,N/A,N/A
1002,A detailed text book  of engineering physics pract,Basavaraju S P,Physics,N/A,N/A
